Province,Confirmed,Day
Henan,0,13-Mar
Hunan,0,13-Mar
Guangdong,0,14-Mar
Zhejiang,12,14-Mar
Henan,0,14-Mar
Hunan,0,14-Mar
Guangdong,4,15-Mar
Zhejiang,4,15-Mar
Henan,0,15-Mar
Hunan,0,15-Mar
Guangdong,1,16-Mar
Zhejiang,0,16-Mar
Henan,0,16-Mar
Hunan,0,16-Mar
Guangdong,3,17-Mar
Zhejiang,1,17-Mar
Henan,0,17-Mar
Hunan,0,17-Mar
Guangdong,6,18-Mar
Zhejiang,0,18-Mar
Henan,0,18-Mar
Hunan,0,18-Mar
Guangdong,8,19-Mar
Zhejiang,1,19-Mar
Henan,0,19-Mar
Hunan,0,19-Mar
Guangdong,17,20-Mar
Zhejiang,1,20-Mar
Henan,0,20-Mar
Hunan,0,20-Mar
Guangdong,5,21-Mar
Zhejiang,2,21-Mar
Henan,0,21-Mar
Hunan,0,21-Mar
